year mon series1 series2 series3 series4
1953 2 16.159 26.6829 8.5989 19.4893
1953 3 16.3189 26.5607 8.6623 19.7293
1953 4 16.159 26.6829 8.6729 19.8893
1953 5 16.2504 26.7643 8.6201 20.2892
1953 6 15.6333 26.6829 8.5672 20.3158
1953 7 15.5418 26.6014 8.694 20.5558
1953 8 15.4047 26.5199 8.6623 20.0225
1953 9 14.7876 26.357 8.5672 19.516
1953 10 14.6505 26.4792 8.5672 18.9028
1953 11 14.1248 26.2755 8.2715 18.4229
1953 12 13.622 25.9903 8.1341 17.9963
1954 1 13.4163 26.3162 7.8912 17.783
1954 2 13.7363 26.4792 7.7961 17.7564
1954 3 13.7363 26.5199 7.6799 17.5697
1954 4 13.8962 26.357 7.5425 17.5431
1954 5 14.1705 26.3977 7.532 17.783
1954 6 14.2619 26.5199 7.4369 17.9963
1954 7 14.1019 26.7643 7.4158 18.0763
1954 8 14.2162 26.7643 7.3735 17.9696
1954 9 14.3076 27.0495 7.289 17.8363
1954 10 14.5133 27.131 7.2679 18.2096
1954 11 14.9248 27.5791 7.4052 18.5562
1954 12 15.4961 27.8235 7.4264 18.8761
1955 1 16.5932 27.9457 7.4792 19.5426
1955 2 16.7761 27.9457 7.5954 20.0226
1955 3 17.2332 28.3938 7.6693 20.5558
1955 4 17.5074 28.5568 7.9334 20.9557
1955 5 17.9645 28.8012 8.0496 21.3556
1955 6 17.5989 28.7197 8.1447 21.4089
1955 7 17.8503 28.679 8.1658 21.6755
1955 8 17.8274 28.7197 8.2186 21.6489
1955 9 17.896 28.9642 8.2715 21.8888
1955 10 18.0103 29.6974 8.6518 22.1288
1955 11 17.8274 29.9418 8.694 22.0222
1955 12 17.7588 30.1863 8.8419 22.1821
1956 1 17.576 30.3492 8.9053 22.2888
1956 2 17.256 30.4307 9.032 21.8622
1956 3 17.3017 30.4307 9.1377 21.7822
1956 4 17.5531 30.4307 9.4018 21.9422
1956 5 17.1417 30.5122 9.3701 21.5422
1956 6 16.7303 30.5937 9.4018 21.249
1956 7 16.7532 30.7159 9.4018 19.5426
1956 8 16.7532 30.9196 9.518 21.3289
1956 9 16.5018 30.9603 9.5602 22.4754
1956 10 16.7075 31.164 9.6342 22.822
1956 11 16.4789 31.0825 9.7926 22.3154
1956 12 17.1646 31.001 9.9088 22.7153
1957 1 17.2103 31.164 10.0462 22.2888
1957 2 17.5074 31.4899 10.268 22.4221
1957 3 17.416 31.6936 10.2152 22.3421
1957 4 16.936 31.5713 10.0145 22.0488
1957 5 16.8446 31.6528 9.8349 21.9422
1957 6 17.1189 31.7343 9.8772 22.0488
1957 7 16.9589 32.0194 9.9194 22.1821
1957 8 17.416 31.938 9.8983 22.2354
1957 9 17.3703 31.9787 9.7715 21.9422
1957 10 16.7304 31.7343 9.5074 21.5956
1957 11 16.6846 31.5713 9.2645 20.8224
1957 12 15.9533 31.8565 8.9792 20.1292
1958 1 15.3133 31.775 8.7996 19.5426
1958 2 14.7648 31.8158 8.4827 18.9028
1958 3 14.2848 31.8158 8.3031 18.4229
1958 4 13.7134 31.775 8.1341 17.9697
1958 5 14.2162 32.0602 7.9334 18.1829
1958 6 14.6276 32.5898 7.9334 18.9561
1958 7 14.8333 32.9971 7.9862 19.436
1958 8 15.1076 33.0379 8.1236 20.0492
